Arquivo: leitura.c
========================================

 ID | Token                  |  Linha | Coluna | Lexema
  1 | TKId                   |     35 |      9 | TKCase
 22 | TKCteInt               |     35 |     28 | 31
 84 | TKHash                 |     36 |      1 | #
  1 | TKId                   |     36 |      2 | define
  1 | TKId                   |     36 |      9 | TKDefault
 22 | TKCteInt               |     36 |     28 | 32
 84 | TKHash                 |     37 |      1 | #
  1 | TKId                   |     37 |      2 | define
  1 | TKId                   |     37 |      9 | TKReturn
 22 | TKCteInt               |     37 |     28 | 33
 84 | TKHash                 |     38 |      1 | #
  1 | TKId                   |     38 |      2 | define
  1 | TKId                   |     38 |      9 | TKBreak
 22 | TKCteInt               |     38 |     28 | 34
 84 | TKHash                 |     39 |      1 | #
  1 | TKId                   |     39 |      2 | define
  1 | TKId                   |     39 |      9 | TKContinue
 22 | TKCteInt               |     39 |     28 | 35
 84 | TKHash                 |     40 |      1 | #
  1 | TKId                   |     40 |      2 | define
  1 | TKId                   |     40 |      9 | TKSizeof
 22 | TKCteInt               |     40 |     28 | 36
 84 | TKHash                 |     41 |      1 | #
  1 | TKId                   |     41 |      2 | define
  1 | TKId                   |     41 |      9 | TKStruct
 22 | TKCteInt               |     41 |     28 | 37
 84 | TKHash                 |     42 |      1 | #
  1 | TKId                   |     42 |      2 | define
  1 | TKId                   |     42 |      9 | TKTypedef
 22 | TKCteInt               |     42 |     28 | 38
 84 | TKHash                 |     43 |      1 | #
  1 | TKId                   |     43 |      2 | define
  1 | TKId                   |     43 |      9 | TKUnsigned
 22 | TKCteInt               |     43 |     28 | 39
 84 | TKHash                 |     44 |      1 | #
  1 | TKId                   |     44 |      2 | define
  1 | TKId                   |     44 |      9 | TKSigned
 22 | TKCteInt               |     44 |     28 | 40
 84 | TKHash                 |     45 |      1 | #
  1 | TKId                   |     45 |      2 | define
  1 | TKId                   |     45 |      9 | TKLong
 22 | TKCteInt               |     45 |     28 | 41
 84 | TKHash                 |     46 |      1 | #
  1 | TKId                   |     46 |      2 | define
  1 | TKId                   |     46 |      9 | TKShort
 22 | TKCteInt               |     46 |     28 | 42
 84 | TKHash                 |     47 |      1 | #
  1 | TKId                   |     47 |      2 | define
  1 | TKId                   |     47 |      9 | TKConst
 22 | TKCteInt               |     47 |     28 | 43
 84 | TKHash                 |     48 |      1 | #
  1 | TKId                   |     48 |      2 | define
  1 | TKId                   |     48 |      9 | TKStatic
